airport,time,cloud_friendly,cloud_altitude,cloud_type,conditions,pressure,temp_air,temp_dewpoint,temp_relhum,visibility,wind_friendly,wind_direction,wind_speed,wind_speed_gust,raw_data
KHOU,1487512380,Overcast skies,700,OVC,BR,29.92,21,20,93,4.0,Light winds,110,7,0,KHOU 191353Z 11007KT 4SM BR OVC007 21/20 A2992 RMK AO2 SLP136 T02110200
KHOU,1487508780,Overcast skies,700,OVC,BR,29.91,21,20,96,3.0,Light winds,110,6,0,KHOU 191253Z 11006KT 3SM BR OVC007 21/20 A2991 RMK AO2 SLP134 T02060200
KHOU,1487505180,Overcast skies,600,OVC,BR,29.89,21,20,96,3.0,Calm winds,110,3,0,KHOU 191153Z 11003KT 3SM BR OVC006 21/20 A2989 RMK AO2 SLP126 60001 70001 T02060200 10211 20200 53009
KHOU,1487501580,Overcast skies,600,OVC,BR,29.87,21,19,93,3.0,Light winds,100,5,0,KHOU 191053Z 10005KT 3SM BR OVC006 21/19 A2987 RMK AO2 CIG 005V010 SLP119 T02060194
KHOU,1487497980,Overcast skies,500,OVC,BR,29.86,21,21,97,2.0,Light winds,120,6,0,KHOU 190953Z 12006KT 2SM BR OVC005 21/21 A2986 RMK AO2 CIG 005V009 SLP118 T02110206
KHOU,1487496540,Overcast skies,500,OVC,BR,29.86,21,21,97,2.0,Light winds,110,7,0,KHOU 190929Z 11007KT 2SM BR OVC005 21/21 A2986 RMK AO2 T02110206
KHOU,1487494380,Overcast skies,400,OVC,BR,29.86,21,21,97,2.0,Light winds,130,5,0,KHOU 190853Z 13005KT 2SM BR OVC004 21/21 A2986 RMK AO2 SLP117 60001 T02110206 58005
KHOU,1487490780,Overcast skies,400,OVC,BR,29.87,21,20,93,2.0,Light winds,130,6,0,KHOU 190753Z 13006KT 2SM BR OVC004 21/20 A2987 RMK AO2 RAE27 SLP118 P0000 T02110200
KHOU,1487490120,Overcast skies,400,OVC,BR,29.87,21,20,96,2.0,Light winds,120,6,0,KHOU 190742Z 12006KT 2SM BR OVC004 21/20 A2987 RMK AO2 RAE27 P0000 T02060200
KHOU,1487487180,Raining,400,OVC,-RA BR,29.89,21,20,96,1.0,Light winds,140,6,0,KHOU 190653Z 14006KT 1SM -RA BR OVC004 21/20 A2989 RMK AO2 RAB29 SLP125 P0001 T02060200
KHOU,1487485500,Overcast skies,400,OVC,BR,29.89,21,19,93,2.0,Light winds,170,6,0,KHOU 190625Z 17006KT 2SM BR OVC004 21/19 A2989 RMK AO2 T02060194
KHOU,1487483580,Overcast skies,800,OVC,BR,29.88,21,19,90,6.0,Light winds,160,9,0,KHOU 190553Z 16009KT 6SM BR OVC008 21/19 A2988 RMK AO2 SLP123 T02110194 10239 20200 402830144 53013
KHOU,1487481840,Overcast skies,800,OVC,BR,29.87,21,19,93,5.0,Light winds,160,5,0,KHOU 190524Z 16005KT 5SM BR OVC008 21/19 A2987 RMK AO2 T02060194
KHOU,1487479980,Scattered clouds,1000,BKN,BR,29.85,20,19,93,5.0,Light winds,110,6,0,KHOU 190453Z 11006KT 5SM BR BKN010 OVC015 20/19 A2985 RMK AO2 SLP113 T02000189
KHOU,1487476380,Scattered clouds,2000,BKN,,29.85,21,19,90,10.0,Light winds,110,5,0,KHOU 190353Z 11005KT 10SM FEW010 BKN020 21/19 A2985 RMK AO2 SLP112 T02060189
KHOU,1487472780,Scattered clouds,1700,BKN,,29.84,21,19,87,10.0,Light winds,130,6,0,KHOU 190253Z 13006KT 10SM SCT014 BKN017 21/19 A2984 RMK AO2 SLP110 T02110189 52016
KHOU,1487471220,Scattered clouds,1400,BKN,,29.83,21,19,87,10.0,Light winds,130,6,0,KHOU 190227Z 13006KT 10SM BKN014 BKN250 21/19 A2983 RMK AO2 T02110189
KHOU,1487470500,Scattered clouds,25000,BKN,,29.83,21,19,90,10.0,Light winds,140,6,0,KHOU 190215Z 14006KT 10SM SCT012 BKN250 21/19 A2983 RMK AO2 T02060189
KHOU,1487469180,Scattered clouds,1600,BKN,,29.83,21,18,87,10.0,Light winds,150,7,0,KHOU 190153Z 15007KT 10SM BKN016 21/18 A2983 RMK AO2 SLP105 T02060183
KHOU,1487465580,Scattered clouds,1200,BKN,,29.81,21,19,87,10.0,Windy,160,11,0,KHOU 190053Z 16011KT 10SM BKN012 BKN250 21/19 A2981 RMK AO2 SLP100 T02110189
KHOU,1487464560,Scattered clouds,1200,BKN,,29.81,22,19,87,10.0,Windy,160,13,0,KHOU 190036Z 16013KT 10SM BKN012 BKN250 22/19 A2981 RMK AO2 T02170194
KHOU,1487461980,Scattered clouds,25000,SCT,,29.8,24,19,74,10.0,Light winds,160,8,0,KHOU 182353Z 16008KT 10SM FEW050 SCT250 24/19 A2980 RMK AO2 SLP095 T02390189 10283 20239 53004
KHOU,1487458380,Scattered clouds,25000,SCT,,29.78,27,13,41,10.0,Light winds,180,10,0,KHOU 182253Z 18010KT 10SM FEW050 SCT250 27/13 A2978 RMK AO2 SLP087 T02720128
KHOU,1487454780,Scattered clouds,5000,SCT,,29.78,28,15,46,10.0,Light winds,180,10,0,KHOU 182153Z 18010KT 10SM SCT050 SCT250 28/15 A2978 RMK AO2 SLP089 T02780150
KHOU,1487451180,Scattered clouds,4600,SCT,,29.78,28,17,53,10.0,Light winds,220,7,0,KHOU 182053Z 22007KT 10SM SCT046 28/17 A2978 RMK AO2 SLP090 T02780172 56020
KHOU,1487447580,Scattered clouds,3000,FEW,,29.79,27,17,53,10.0,Light winds,0,5,0,KHOU 181953Z VRB05KT 10SM FEW030 FEW250 27/17 A2979 RMK AO2 SLP093 T02720167
KHOU,1487443980,Scattered clouds,2500,FEW,,29.82,26,18,60,10.0,Light winds,190,6,0,KHOU 181853Z 19006KT 10SM FEW025 26/18 A2982 RMK AO2 SLP102 T02610178
KHOU,1487440380,Scattered clouds,2500,SCT,,29.84,25,18,66,10.0,Light winds,210,8,0,KHOU 181753Z 21008KT 10SM SCT025 25/18 A2984 RMK AO2 SLP111 T02500183 10250 20167 58003
KHOU,1487436780,Scattered clouds,2100,BKN,,29.86,23,19,79,10.0,Light winds,190,10,0,KHOU 181653Z 19010KT 10SM SCT016 BKN021 23/19 A2986 RMK AO2 SLP117 T02280189
KHOU,1487433180,Scattered clouds,1200,BKN,,29.86,20,19,93,10.0,Light winds,200,7,0,KHOU 181553Z 20007KT 10SM BKN012 20/19 A2986 RMK AO2 SLP117 T02000189
KHOU,1487429580,Scattered clouds,1200,BKN,BR,29.85,18,18,97,5.0,Light winds,180,5,0,KHOU 181453Z 18005KT 5SM BR BKN012 18/18 A2985 RMK AO2 SLP114 T01830178 53015
KHOU,1487428440,Scattered clouds,1200,BKN,BR,29.84,18,18,97,5.0,Light winds,180,4,0,KHOU 181434Z 18004KT 5SM BR FEW003 BKN012 18/18 A2984 RMK AO2 T01830178
KHOU,1487427420,Scattered clouds,1200,BKN,BR,29.84,18,18,100,2.0,Calm winds,160,3,0,KHOU 181417Z 16003KT 2SM BR SCT003 BKN012 18/18 A2984 RMK AO2 SFC VIS 4 T01780178
KHOU,1487425980,Overcast skies,300,OVC,FG,29.84,18,17,96,0.25,Calm winds,0,0,0,KHOU 181353Z 00000KT 1/4SM FG OVC003 18/17 A2984 RMK AO2 TWR VIS 1/2 SLP108 T01780172
KHOU,1487422380,Overcast skies,300,OVC,FG,29.82,17,17,97,0.25,Light winds,200,7,0,KHOU 181253Z 20007KT 1/4SM FG OVC003 17/17 A2982 RMK AO2 SFC VIS 1/2 SLP104 T01720167
KHOU,1487420640,Overcast skies,300,OVC,BR,29.81,17,17,100,2.0,Calm winds,180,3,0,KHOU 181224Z 18003KT 2SM BR OVC003 17/17 A2981 RMK AO2 T01670167
KHOU,1487419500,Scattered clouds,400,BKN,BR,29.81,17,16,96,6.0,Calm winds,180,3,0,KHOU 181205Z 18003KT 6SM BR BKN004 OVC011 17/16 A2981 RMK AO2 T01670161
KHOU,1487418780,Overcast skies,1000,OVC,,29.81,17,16,96,9.0,Light winds,180,4,0,KHOU 181153Z 18004KT 9SM FEW004 OVC010 17/16 A2981 RMK AO2 SLP099 70022 T01670161 10167 20144 53002
KHOU,1487416320,Overcast skies,1300,OVC,BR,29.8,16,16,100,6.0,Light winds,160,4,0,KHOU 181112Z 16004KT 6SM BR FEW004 OVC013 16/16 A2980 RMK AO2 T01610161
KHOU,1487415180,Overcast skies,1200,OVC,BR,29.79,16,16,100,3.0,Light winds,170,4,0,KHOU 181053Z 17004KT 3SM BR OVC012 16/16 A2979 RMK AO2 SLP093 T01610161
KHOU,1487414280,Scattered clouds,1200,BKN,BR,29.79,16,15,96,1.5,Light winds,160,5,0,KHOU 181038Z 16005KT 1 1/2SM BR FEW002 BKN012 16/15 A2979 RMK AO2 T01560150
KHOU,1487413380,Scattered clouds,200,BKN,FG,29.79,16,16,100,0.25,Calm winds,140,3,0,KHOU 181023Z 14003KT 1/4SM FG BKN002 OVC011 16/16 A2979 RMK AO2 TWR VIS 3/4 T01560156 $
KHOU,1487413020,Scattered clouds,300,BKN,FG,29.8,16,16,100,0.25,Calm winds,0,0,0,KHOU 181017Z 00000KT 1/4SM FG BKN003 OVC011 16/16 A2980 RMK AO2 TWR VIS 3/4 T01560156 $
KHOU,1487412660,Scattered clouds,1100,BKN,FG,29.79,16,15,96,0.75,Calm winds,120,3,0,KHOU 181011Z 12003KT 3/4SM FG SCT003 BKN011 16/15 A2979 RMK AO2 SFC VIS 2 T01560150
KHOU,1487411580,Scattered clouds,1300,BKN,BCFG BR,29.79,16,15,96,5.0,Calm winds,130,3,0,KHOU 180953Z 13003KT 5SM BCFG BR FEW004 BKN013 16/15 A2979 RMK AO2 SLP093 T01560150
KHOU,1487410020,Scattered clouds,1500,BKN,,29.8,16,16,100,8.0,Light winds,160,4,0,KHOU 180927Z 16004KT 8SM FEW005 BKN015 16/16 A2980 RMK AO2 T01560156
KHOU,1487409180,Scattered clouds,1500,SCT,,29.8,16,16,100,10.0,Calm winds,140,3,0,KHOU 180913Z 14003KT 10SM FEW005 SCT015 16/16 A2980 RMK AO2 T01560156
KHOU,1487408580,Scattered clouds,1400,BKN,,29.8,16,16,100,10.0,Calm winds,140,3,0,KHOU 180903Z 14003KT 10SM SCT005 BKN014 16/16 A2980 RMK AO2 T01560156
KHOU,1487407980,Scattered clouds,500,BKN,,29.8,16,16,97,10.0,Light winds,140,4,0,KHOU 180853Z 14004KT 10SM BKN005 BKN014 16/16 A2980 RMK AO2 SLP097 T01610156 56006
KHOU,1487404380,Overcast skies,1300,OVC,,29.81,17,16,93,10.0,Light winds,150,6,0,KHOU 180753Z 15006KT 10SM SCT006 OVC013 17/16 A2981 RMK AO2 SLP099 T01670156
KHOU,1487400780,Scattered clouds,1000,BKN,,29.81,16,15,96,10.0,Light winds,150,5,0,KHOU 180653Z 15005KT 10SM BKN010 16/15 A2981 RMK AO2 SLP099 T01560150
KHOU,1487400360,Scattered clouds,1000,BKN,,29.81,16,15,96,10.0,Light winds,150,6,0,KHOU 180646Z 15006KT 10SM BKN010 16/15 A2981 RMK AO2 T01560150
KHOU,1487397180,Clear skies,99999,CLR,,29.82,14,14,97,10.0,Light winds,130,5,0,KHOU 180553Z 13005KT 10SM CLR 14/14 A2982 RMK AO2 SLP103 T01440139 10161 20144 401890100 58009
KHOU,1487393580,Scattered clouds,25000,SCT,,29.84,15,13,90,10.0,Light winds,120,4,0,KHOU 180453Z 12004KT 10SM SCT250 15/13 A2984 RMK AO2 SLP109 T01500133
KHOU,1487389980,Scattered clouds,25000,SCT,,29.85,16,13,83,10.0,Light winds,110,7,0,KHOU 180353Z 11007KT 10SM FEW040 SCT250 16/13 A2985 RMK AO2 SLP112 T01560128
KHOU,1487386380,Scattered clouds,3900,SCT,,29.85,15,13,90,10.0,Light winds,130,4,0,KHOU 180253Z 13004KT 10SM SCT039 SCT250 15/13 A2985 RMK AO2 SLP112 T01500133 53005
KHOU,1487382780,Scattered clouds,3900,SCT,,29.83,16,14,93,10.0,Windy,120,11,0,KHOU 180153Z 12011KT 10SM FEW012 SCT039 SCT250 16/14 A2983 RMK AO2 SLP105 T01560144
KHOU,1487379180,Scattered clouds,4500,BKN,,29.83,16,14,87,10.0,Light winds,110,7,0,KHOU 180053Z 11007KT 10SM FEW012 BKN045 BKN250 16/14 A2983 RMK AO2 SLP105 T01610139
